edad,sexo,cabeza_de_hogar,caracterizacion_ciudadano,tipo_de_emprendimiento,idea_de_negocio,estrato,barrio_vereda_ciudadano,comuna_ciudadano,zona_ciudadano,fecha_de_beneficio_dia,fecha_de_beneficio_mes,fecha_de_beneficio_año
65,masculino,si,empresario,no dato,no dato,,popular,01-popular,nor-oriental,17,7,2017.0
65,masculino,si,empresario,no dato,no dato,,popular,01-popular,nor-oriental,31,7,2017.0
65,masculino,si,empresario,no dato,no dato,,popular,01-popular,nor-oriental,14,8,2017.0
65,masculino,si,empresario,no dato,no dato,,popular,01-popular,nor-oriental,28,8,2017.0
78,masculino,no,empresario,no dato,no dato,1,bosques de san pablo,07-robledo,nor-occidental,10,7,2017.0
78,masculino,no,empresario,no dato,no dato,1,bosques de san pablo,07-robledo,nor-occidental,31,7,2017.0
78,masculino,no,empresario,no dato,no dato,1,bosques de san pablo,07-robledo,nor-occidental,14,8,2017.0
82,masculino,no,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,10,7,2017.0
82,masculino,no,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,31,7,2017.0
82,masculino,no,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,14,8,2017.0
82,masculino,no,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,28,8,2017.0
34,masculino,no,empresario,no dato,no dato,1,otro,99-otro,otro,17,7,2017.0
34,masculino,no,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
34,masculino,no,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
63,masculino,si,empresario,no dato,no dato,1,san pedro,04-aranjuez,nor-oriental,17,7,2017.0
63,masculino,si,empresario,no dato,no dato,1,san pedro,04-aranjuez,nor-oriental,31,7,2017.0
63,masculino,si,empresario,no dato,no dato,1,san pedro,04-aranjuez,nor-oriental,14,8,2017.0
63,masculino,si,empresario,no dato,no dato,1,san pedro,04-aranjuez,nor-oriental,28,8,2017.0
61,masculino,si,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,11,7,2017.0
61,masculino,si,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,31,7,2017.0
61,masculino,si,empresario,no dato,no dato,1,prado,10-la candelaria,centro-oriental,14,8,2017.0
61,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,11,7,2017.0
61,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
61,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,14,8,2017.0
61,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
54,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,17,7,2017.0
54,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,31,7,2017.0
54,masculino,si,empresario,no dato,no dato,1,otro,99-otro,otro,28,8,2017.0
54,masculino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,17,7,2017.0
54,masculino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,14,8,2017.0
54,masculino,si,empresario,no dato,no dato,1,santa cruz,02-santa cruz,nor-oriental,28,8,2017.0
81,masculino,si,empresario,no dato,no dato,2,san javier no.1,13-san javier,centro-occidental,11,7,2017.0
