OBJECTID,Shape,nombre,id_ruta,codigo,recorrido,from_date,sistema,tipo,empresa,id_gflota,longitud,fecha_actualizacion,Shape_Length
1,"(4715457.633850309, 2252270.912431034)",12 de Octubre - Calle 90,90111,263,Origen Destino_Destino Origen,2018-08-01 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110585,19982.0699437667,2024-11-04 05:11:05,17662.35898047768
2,"(4715462.572997097, 2254279.9873374775)",12 de Octubre - Estación Tricentenario,90113,263i,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110712,8842.359411125399,2024-11-04 05:11:05,7138.797802829405
3,"(4716905.228793093, 2255044.7912288033)",12 de Octubre - Estación Tricentenario,90114,263ii,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110722,2221.2479019548273,2024-11-04 05:11:05,2221.247901958962
4,"(4710541.0989092905, 2249797.5061010984)",20 de Julio,90307,225i-1,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,111912,3085.3297738651017,2024-11-04 05:11:05,2279.2471122049046
5,"(4716541.9905215055, 2249174.6770195253)",Alcázares de Sucre,90243,91,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Copatra,112915,17688.8361174609,2024-11-04 05:11:05,13085.209786760961
6,"(4715358.461966729, 2251987.2736233426)",Alfonso López Calle 94,90107,261,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,120565,17623.540845479525,2024-11-04 05:11:05,15438.998041890572
7,"(4715217.386523526, 2252600.3717943835)",Alfonso López - Viejo Terminal,90104,261A,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110575,19400.587127675717,2024-11-04 05:11:05,15175.186019720757
8,"(4715730.710272284, 2251935.7916182126)",Alpujarra - Oriental sentido antihorario,90129,Anillo 3AH Carrera 65,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110525,19676.5513745476,2024-11-04 05:11:05,19009.2473076661
9,"(4715361.69982018, 2251099.4806383583)",Alpujarra - Oriental sentido antihorario,90137,Anillo 3ah Carrera 73,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110475,16782.674457086316,2024-11-04 05:11:05,15213.86369134746
10,"(4715745.91056938, 2252469.3733729427)",Alpujarra - Oriental sentido horario,90130,Anillo 3H Carrera 65,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110515,23571.843385673747,2024-11-04 05:11:05,20989.106879245897
