ocu_indicador,ocu_periodo,ocu_valor
OCUPA_HOTELERA,202310,67.10822562369955
OCUPA_HOTELERA,202309,71.72822562369954
OCUPA_HOTELERA,202308,78.20822562369955
OCUPA_HOTELERA,202307,77.92822562369955
OCUPA_HOTELERA,202306,68.90822562369955
OCUPA_HOTELERA,202305,71.4822562369955
OCUPA_HOTELERA,202304,66.00822562369954
OCUPA_HOTELERA,202303,73.92822562369955
OCUPA_HOTELERA,202302,75.02756096485426
OCUPA_HOTELERA,202301,72.13927469135803
OCUPA_HOTELERA,202212,75.56694850433094
OCUPA_HOTELERA,202211,82.11553902717323
OCUPA_HOTELERA,202210,75.79521203968727
OCUPA_HOTELERA,202209,79.27088358153809
OCUPA_HOTELERA,202208,81.75970873786407
OCUPA_HOTELERA,202207,83.3
OCUPA_HOTELERA,202206,74.9
OCUPA_HOTELERA,202205,72.5
OCUPA_HOTELERA,202204,76.9
OCUPA_HOTELERA,202203,77.6
OCUPA_HOTELERA,202202,72.7
OCUPA_HOTELERA,202201,72.1
OCUPA_HOTELERA,202112,76.3
OCUPA_HOTELERA,202111,75.9
OCUPA_HOTELERA,202110,67.3
OCUPA_HOTELERA,202109,65.2
OCUPA_HOTELERA,202108,60.7
OCUPA_HOTELERA,202107,54.9
OCUPA_HOTELERA,202106,39.4
OCUPA_HOTELERA,202105,27.8
OCUPA_HOTELERA,202104,30.4
OCUPA_HOTELERA,202103,42.3
OCUPA_HOTELERA,202102,36.6
OCUPA_HOTELERA,202101,30.0
OCUPA_HOTELERA,202012,40.5
OCUPA_HOTELERA,202011,32.5
OCUPA_HOTELERA,202010,26.88
OCUPA_HOTELERA,202009,12.62
OCUPA_HOTELERA,202008,10.31
OCUPA_HOTELERA,202007,8.32
OCUPA_HOTELERA,202006,4.6
OCUPA_HOTELERA,202005,3.24
OCUPA_HOTELERA,202004,3.69
OCUPA_HOTELERA,202003,35.8
OCUPA_HOTELERA,202002,71.2
OCUPA_HOTELERA,202001,65.3
OCUPA_HOTELERA,201912,68.8
OCUPA_HOTELERA,201911,70.34
OCUPA_HOTELERA,201910,65.81
OCUPA_HOTELERA,201909,68.73
OCUPA_HOTELERA,201908,72.67
OCUPA_HOTELERA,201907,66.7
OCUPA_HOTELERA,201906,60.08
OCUPA_HOTELERA,201905,60.49
OCUPA_HOTELERA,201904,57.54
OCUPA_HOTELERA,201903,61.75
OCUPA_HOTELERA,201902,63.74
OCUPA_HOTELERA,201901,64.48
OCUPA_HOTELERA,201812,61.75
OCUPA_HOTELERA,201811,68.08
OCUPA_HOTELERA,201810,62.74
OCUPA_HOTELERA,201809,62.55
OCUPA_HOTELERA,201808,67.17
OCUPA_HOTELERA,201807,60.75
OCUPA_HOTELERA,201806,55.26
OCUPA_HOTELERA,201805,55.27
OCUPA_HOTELERA,201804,56.43
OCUPA_HOTELERA,201803,56.93
OCUPA_HOTELERA,201802,58.82
OCUPA_HOTELERA,201801,57.27
OCUPA_HOTELERA,201712,58.26
OCUPA_HOTELERA,201711,66.58
OCUPA_HOTELERA,201710,64.61
OCUPA_HOTELERA,201709,60.93
OCUPA_HOTELERA,201708,69.26
OCUPA_HOTELERA,201707,60.8
OCUPA_HOTELERA,201706,58.04
OCUPA_HOTELERA,201705,61.76
OCUPA_HOTELERA,201704,56.67
OCUPA_HOTELERA,201703,58.43
OCUPA_HOTELERA,201702,61.97
OCUPA_HOTELERA,201701,59.85
OCUPA_HOTELERA,201612,63.84
OCUPA_HOTELERA,201611,69.67
OCUPA_HOTELERA,201610,62.88
OCUPA_HOTELERA,201609,67.31
OCUPA_HOTELERA,201608,71.79
OCUPA_HOTELERA,201607,65.43
OCUPA_HOTELERA,201606,62.5
OCUPA_HOTELERA,201605,66.01
OCUPA_HOTELERA,201604,61.17
OCUPA_HOTELERA,201603,64.59
OCUPA_HOTELERA,201602,66.37
OCUPA_HOTELERA,201601,64.11
OCUPA_HOTELERA,201512,70.1
OCUPA_HOTELERA,201511,69.9
OCUPA_HOTELERA,201510,67.82
OCUPA_HOTELERA,201509,72.4
OCUPA_HOTELERA,201508,70.02
OCUPA_HOTELERA,201507,63.7
OCUPA_HOTELERA,201506,57.69
OCUPA_HOTELERA,201505,58.37
OCUPA_HOTELERA,201504,56.84
OCUPA_HOTELERA,201503,56.36
OCUPA_HOTELERA,201502,56.93
OCUPA_HOTELERA,201501,55.61
OCUPA_HOTELERA,201412,71.59
OCUPA_HOTELERA,201411,64.41
OCUPA_HOTELERA,201410,62.33
OCUPA_HOTELERA,201409,59.78
OCUPA_HOTELERA,201408,67.49
OCUPA_HOTELERA,201407,55.23
OCUPA_HOTELERA,201406,54.91
OCUPA_HOTELERA,201405,54.1
OCUPA_HOTELERA,201404,63.58
OCUPA_HOTELERA,201403,55.36
OCUPA_HOTELERA,201402,53.97
OCUPA_HOTELERA,201401,55.76
OCUPA_HOTELERA,201312,64.11
OCUPA_HOTELERA,201311,65.12
OCUPA_HOTELERA,201310,58.29
OCUPA_HOTELERA,201309,57.38
OCUPA_HOTELERA,201308,64.01
OCUPA_HOTELERA,201307,58.59
OCUPA_HOTELERA,201306,58.97
OCUPA_HOTELERA,201305,52.16
OCUPA_HOTELERA,201304,52.69
OCUPA_HOTELERA,201303,51.62
OCUPA_HOTELERA,201302,50.47
OCUPA_HOTELERA,201301,56.52
OCUPA_HOTELERA,201212,60.78
OCUPA_HOTELERA,201211,65.21
OCUPA_HOTELERA,201210,57.41
OCUPA_HOTELERA,201209,54.4
OCUPA_HOTELERA,201208,63.54
OCUPA_HOTELERA,201207,55.87
OCUPA_HOTELERA,201206,50.19
OCUPA_HOTELERA,201205,49.87
OCUPA_HOTELERA,201204,47.08
OCUPA_HOTELERA,201203,48.7
OCUPA_HOTELERA,201202,47.31
OCUPA_HOTELERA,201201,48.86
OCUPA_HOTELERA,201112,53.76
OCUPA_HOTELERA,201111,56.75
OCUPA_HOTELERA,201110,53.45
OCUPA_HOTELERA,201109,52.21
OCUPA_HOTELERA,201108,57.54
OCUPA_HOTELERA,201107,51.77
OCUPA_HOTELERA,201106,49.31
OCUPA_HOTELERA,201105,47.68
OCUPA_HOTELERA,201104,41.46
OCUPA_HOTELERA,201103,48.34
OCUPA_HOTELERA,201102,44.36
OCUPA_HOTELERA,201101,44.29
OCUPA_HOTELERA,201012,45.41
OCUPA_HOTELERA,201011,55.65
OCUPA_HOTELERA,201010,57.83
OCUPA_HOTELERA,201009,53.43
OCUPA_HOTELERA,201008,54.42
OCUPA_HOTELERA,201007,55.74
OCUPA_HOTELERA,201006,44.18
OCUPA_HOTELERA,201005,44.17
OCUPA_HOTELERA,201004,47.94
OCUPA_HOTELERA,201003,51.83
OCUPA_HOTELERA,201002,45.5
OCUPA_HOTELERA,201001,51.78
OCUPA_HOTELERA,200912,51.98
OCUPA_HOTELERA,200911,50.46
OCUPA_HOTELERA,200910,47.37
OCUPA_HOTELERA,200909,54.53
OCUPA_HOTELERA,200908,55.82
OCUPA_HOTELERA,200907,51.71
OCUPA_HOTELERA,200906,41.78
OCUPA_HOTELERA,200905,38.65
OCUPA_HOTELERA,200904,42.39
OCUPA_HOTELERA,200903,46.57
OCUPA_HOTELERA,200902,39.9
OCUPA_HOTELERA,200901,48.31
OCUPA_HOTELERA,200812,53.99
OCUPA_HOTELERA,200811,53.33
OCUPA_HOTELERA,200810,54.07
OCUPA_HOTELERA,200809,55.93
OCUPA_HOTELERA,200808,67.05
OCUPA_HOTELERA,200807,58.31
OCUPA_HOTELERA,200806,50.95
OCUPA_HOTELERA,200805,55.3
OCUPA_HOTELERA,200804,57.53
OCUPA_HOTELERA,200803,49.09
OCUPA_HOTELERA,200802,52.51
OCUPA_HOTELERA,200801,55.47
OCUPA_HOTELERA,200712,53.38
OCUPA_HOTELERA,200711,58.17
OCUPA_HOTELERA,200710,56.83
OCUPA_HOTELERA,200709,58.15
OCUPA_HOTELERA,200708,65.85
OCUPA_HOTELERA,200707,65.54
OCUPA_HOTELERA,200706,58.9
OCUPA_HOTELERA,200705,59.95
OCUPA_HOTELERA,200704,59.28
OCUPA_HOTELERA,200703,57.93
OCUPA_HOTELERA,200702,57.65
OCUPA_HOTELERA,200701,55.75
