tar_periodo,tar_valor,tar_zona
202209,77919.71293561725,CENTRO
202209,169348.128748068,LAURELES
202209,344596.473246356,POBLADO
202109,126277.0,LAURELES
202109,257055.0,POBLADO
202109,63989.0,CENTRO
202009,79580.0,CENTRO
202009,159445.0,POBLADO
202009,95378.0,LAURELES
201909,102614.0,LAURELES
201909,194700.0,POBLADO
201909,123584.0,CENTRO
201809,215564.0,POBLADO
201809,81937.0,CENTRO
201809,102984.0,LAURELES
201709,195020.0,POBLADO
201709,72050.0,CENTRO
201709,106443.0,LAURELES
201609,108690.0,LAURELES
201609,67848.0,CENTRO
201609,194227.0,POBLADO
201509,109582.0,LAURELES
201509,180096.0,POBLADO
201509,68531.0,CENTRO
201409,169489.0,POBLADO
201409,62420.0,CENTRO
201409,108955.0,LAURELES
201309,158717.0,POBLADO
201309,118092.0,LAURELES
201309,58937.0,CENTRO
201209,146339.0,POBLADO
201209,57993.0,CENTRO
201209,98783.0,LAURELES
202208,81553.23606228027,CENTRO
202208,168234.41625615762,LAURELES
202208,427615.1251331375,POBLADO
202108,256197.0,POBLADO
202108,129887.0,CENTRO
202108,119717.0,LAURELES
202008,163625.0,POBLADO
202008,79758.0,CENTRO
202008,88399.0,LAURELES
201908,85517.0,CENTRO
201908,211199.0,POBLADO
201908,104738.0,LAURELES
201808,106322.0,LAURELES
201808,81601.0,CENTRO
201808,206532.0,POBLADO
201708,207743.0,POBLADO
201708,111350.0,LAURELES
201708,73023.0,CENTRO
201608,113585.0,LAURELES
201608,75635.0,CENTRO
201608,217399.0,POBLADO
201508,68990.0,CENTRO
201508,122649.0,LAURELES
201508,186045.0,POBLADO
201408,89058.0,CENTRO
201408,119875.0,LAURELES
201408,165796.0,POBLADO
201308,161399.0,POBLADO
201308,104646.0,LAURELES
201308,69766.0,CENTRO
201208,99842.0,LAURELES
201208,157171.0,POBLADO
201208,65708.0,CENTRO
202207,396269.0,POBLADO
202207,172724.0,LAURELES
202207,78861.0,CENTRO
202107,65831.0,CENTRO
202107,119717.0,LAURELES
202107,242505.0,POBLADO
202007,77062.0,CENTRO
202007,89883.0,LAURELES
202007,166310.0,POBLADO
201907,200980.0,POBLADO
201907,111392.0,CENTRO
201907,95423.0,LAURELES
201807,195512.0,POBLADO
201807,114479.0,LAURELES
201807,81439.0,CENTRO
201707,102746.0,LAURELES
201707,72617.0,CENTRO
201707,210096.0,POBLADO
201607,205950.0,POBLADO
201607,69760.0,CENTRO
201607,111943.0,LAURELES
201507,114283.0,LAURELES
201507,75127.0,CENTRO
201507,183508.0,POBLADO
201407,103685.0,LAURELES
201407,56315.0,CENTRO
201407,152526.0,POBLADO
201307,142777.0,POBLADO
201307,101575.0,LAURELES
201307,62680.0,CENTRO
201207,95245.0,LAURELES
201207,157119.0,POBLADO
201207,58193.0,CENTRO
202206,158948.0,LAURELES
202206,75703.0,CENTRO
202206,339706.0,POBLADO
202106,226808.0,POBLADO
202106,65719.0,CENTRO
202106,118207.0,LAURELES
202006,96513.0,CENTRO
202006,77930.0,LAURELES
202006,155947.0,POBLADO
201906,81265.0,CENTRO
201906,199097.0,POBLADO
201906,94712.0,LAURELES
201806,187639.0,POBLADO
201806,110185.0,LAURELES
201806,74819.0,CENTRO
201706,98724.0,LAURELES
201706,187630.0,POBLADO
201706,70500.0,CENTRO
201606,70118.0,CENTRO
201606,106220.0,LAURELES
201606,196639.0,POBLADO
201506,159717.0,POBLADO
201506,67473.0,CENTRO
201506,100405.0,LAURELES
201406,108585.0,LAURELES
201406,62771.0,CENTRO
201406,149533.0,POBLADO
201306,151382.0,POBLADO
201306,96507.0,LAURELES
201306,65384.0,CENTRO
201206,142644.0,POBLADO
201206,62002.0,CENTRO
201206,97576.0,LAURELES
202205,340197.497658613,POBLADO
202205,154957.28493482873,LAURELES
202205,79285.68715697037,CENTRO
202105,67772.0,CENTRO
202105,108265.0,LAURELES
202105,224913.0,POBLADO
202005,46414.0,CENTRO
